1.00,0.64,0.28,0.22,0.31,0.49,1.00
1.00,1.00,1.00,1.00,1.00,0.40,0.00
1.00,1.00,1.00,0.21,0.03,0.40,1.00
0.13,0.11,0.23,0.61,1.00,0.59,1.00
1.00,1.00,1.00,1.00,1.00,0.30,0.00
0.10,0.15,0.37,1.00,1.00,0.57,1.00
0.10,0.05,0.11,0.32,1.00,0.45,1.00
0.32,1.00,1.00,1.00,1.00,0.70,0.00
1.00,0.18,0.08,0.06,0.12,0.50,1.00
0.51,0.36,1.00,1.00,1.00,0.80,0.00
1.00,1.00,1.00,1.00,0.54,0.50,0.00
1.00,0.43,0.29,0.31,0.64,0.50,1.00
1.00,0.55,0.35,0.35,1.00,0.90,0.00
1.00,1.00,1.00,0.16,0.00,0.50,1.00
1.00,0.40,0.33,0.42,1.00,0.50,0.00
0.54,0.03,0.01,0.01,0.11,0.50,1.00
1.00,1.00,1.00,1.00,1.00,0.90,0.00
1.00,0.68,0.14,0.22,1.00,0.52,1.00
0.17,0.05,0.09,0.23,0.55,0.56,1.00
1.00,0.68,0.55,0.68,1.00,0.60,0.00
0.29,0.84,1.00,1.00,0.63,0.50,0.00
0.07,0.10,1.00,1.00,1.00,0.72,1.00
0.81,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.10,0.09,0.21,0.75,1.00,0.76,1.00
0.66,0.25,0.23,0.34,1.00,0.50,1.00
0.10,0.16,0.41,1.00,1.00,0.48,1.00
1.00,1.00,0.51,0.13,0.02,0.39,1.00
1.00,1.00,0.09,0.09,0.21,0.38,1.00
1.00,1.00,1.00,1.00,0.87,0.50,0.00
0.62,0.87,1.00,1.00,0.36,0.50,0.00
1.00,1.00,0.71,0.88,1.00,0.50,0.00
1.00,0.69,0.30,0.23,0.31,0.70,1.00
0.15,0.13,0.27,0.86,1.00,0.63,1.00
1.00,1.00,1.00,1.00,1.00,0.30,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,0.77,1.00,1.00,0.10,0.00
0.09,0.05,0.13,0.39,1.00,0.55,1.00
1.00,0.12,0.23,0.66,1.00,0.41,1.00
0.51,0.24,0.25,0.42,1.00,0.37,1.00
0.43,0.21,0.23,0.40,1.00,0.56,1.00
